Flight number,Airline,Origin / destination,Date of arrival,Close contact rows
EK420,Emirates,Dubai to Perth,02/03/2020,"81, 82, 83, 84, 85"
QF10,QANTAS,London to Perth,05/03/2020,"40, 41, 42, 43, 44"
EK0420,Emirates,Dubai to Perth,08/03/2020,"45, 46, 47, 48, 49"
QF581,QANTAS,Sydney to Perth,09/03/2020,"46, 47, 48, 49, 50"
QF589,QANTAS,Brisbane to Perth,09/03/2020,"14, 15, 16, 17, 18"
CX171,Cathay Pacific,Hong Kong to Perth,10/03/2020,"18, 19, 20, 21, 22, 23"
QR900,Qatar Airways,Doha to Perth,10/03/2020,"70, 71, 72, 73, 74"
SQ225,Singapore Airlines,Singapore to Perth,11/03/2020,"45, 46, 47, 48, 49"
SQ225,Singapore Airlines,Singapore to Perth,12/03/2020,"42, 43, 44, 45, 46"
QF10,QANTAS,London to Perth,12/03/2020,"38, 39, 40, 41, 42"
QF769,QANTAS,Melbourne to Perth,12/03/2020,"50, 51, 52, 53, 54"
QF10,QANTAS,London to Perth,14/03/2020,"38, 39, 40, 41, 42"
TG481,Thai Airways,Bangkok to Perth,15/3/2020,"47, 48, 49, 50, 51"
EK0420,Emirates,Dubai to Perth,13/3/2020,"62, 63, 64, 65, 66"
EK0420,Emirates,Dubai to Perth,14/3/2020,"16, 17, 18, 19, 20, 21"
