Flight #,Airline,Origin / Destination,Date of Arrival,Close contact rows
SQ919,Singapore Airlines,Manila - Singapore,8/3/20,**
SQ279,Singapore Airlines,Singapore - Adelaide,9/3/20,"44, 45, 46, 47, 48"
AA3193,American Airlines,Aspen – Los Angeles,9/3/20,"2, 3, 4, 5, 6"
VA1446,Virgin Australia,Gold Coast - Adelaide,9/3/20,"26, 27, 28, 29, 30"
QF56,Qantas,Los Angeles - Brisbane,9/3/20,"1, 2, 3, 4"
EY84,Etihad Airways,Rome – Abu Dhabi,9/3/20,"29, 30, 31, 32, 33, 34, 35,36"
EY450,Etihad Airways,Abu Dhabi - Sydney,10/3/20,"30, 31, 32, 33, 34, 35, 36"
QF663,Qantas,Brisbane - Adelaide,10/3/20,"13, 14, 15, 16, 17"
VA418,Virgin Australia,Sydney - Adelaide,10/3/20,"7, 8, 9, 10, 11, 12"
QF741,Qantas,Sydney - Adelaide,11/3/20,"1, 2, 3, 4"
QF12,Qantas,Los Angeles - Sydney,11/3/20,"1, 2, 3, 4, 5"
JQ452,Jetstar,Adelaide - Gold Coast,12/3/20,"18, 19, 20, 21, 22"
QF20,Qantas,Manila - Sydney,13/3/20,"46, 47, 48, 49, 50"
QF739,Qantas,Sydney - Adelaide,13/3/20,"16, 17, 18, 19, 20"
QF50,Qantas,San Francisco - Melbourne,13/3/20,"2, 3, 4, 5, 6"
QF679,Qantas,Melbourne - Adelaide,13/3/20,"1, 2, 3, 4"
NZ191,Air New Zealand,Auckland - Adelaide,13/3/20,"3, 4, 5, 6, 7"
QF94,Qantas,Los Angeles - Melbourne,13/3/20,"34, 35, 36, 37, 39"
QF685,Qantas,Melbourne - Adelaide,13/3/20,"9, 10, 11, 12, 13"
QF751,Qantas,Adelaide - Sydney,15/3/20,"18, 19, 20, 21, 22"
EK440,Emirates Airlines,Dubai - Adelaide,15/3/20,"23, 24, 25, 26, 27"
JQ453,Jetstar,Gold Coast - Adelaide,15/3/20,"12, 13, 14, 15, 16"
VA437,Virgin Australia,Sydney - Adelaide,17/3/20,"12, 13, 14, 15, 16"
VA211,Virgin Australia,Melbourne - Adelaide,16/3/20,"4, 5, 6, 7, 8"
